# Spherical Bessel functions via up and down recursion
x        down          up            gsl           rel_up_down   rel_down_gsl  rel_up_gsl   
0.100000  7.271511e-21  3.426744e+02  7.271511e-21  1.000000e+00  2.069216e-16  1.000000e+00
0.200000  7.441173e-18 -1.371593e-01  7.441173e-18  1.000000e+00  0.000000e+00  1.000000e+00
0.300000  4.286293e-16  3.908256e-04  4.286293e-16  1.000000e+00  1.725400e-16  1.000000e+00
0.400000  7.599905e-15 -3.662896e-04  7.599905e-15  1.000000e+00  1.037988e-16  1.000000e+00
0.500000  7.064124e-14 -2.153573e-05  7.064124e-14  1.000000e+00  2.680115e-16  1.000000e+00
0.600000  4.363467e-13  3.815484e-06  4.363467e-13  9.999998e-01  1.735561e-16  9.999998e-01
0.700000  2.032691e-12 -7.701172e-07  2.032691e-12  1.000000e+00  2.980508e-16  1.000000e+00
0.800000  7.701463e-12 -3.546635e-07  7.701463e-12  1.000000e+00  2.097767e-16  1.000000e+00
0.900000  2.491675e-11  2.769321e-08  2.491675e-11  9.982021e-01  3.241970e-16  9.982021e-01
1.000000  7.116553e-11  4.001015e-08  7.116553e-11  9.964489e-01  3.632292e-16  9.964489e-01
1.100000  1.837427e-10  5.860302e-09  1.837427e-10  9.391988e-01  1.406826e-16  9.391988e-01
1.200000  4.364346e-10 -4.876726e-09  4.364346e-10  1.000000e+00  5.922857e-17  1.000000e+00
1.300000  9.664368e-10 -1.533027e-09  9.664368e-10  1.000000e+00  1.069884e-16  1.000000e+00
1.400000  2.015872e-09  2.260301e-09  2.015872e-09  5.716049e-02  3.077504e-16  5.716049e-02
1.500000  3.993441e-09  3.449675e-09  3.993441e-09  7.305616e-02  0.000000e+00  7.305616e-02
1.600000  7.563022e-09  7.336673e-09  7.563022e-09  1.519154e-02  2.187434e-16  1.519154e-02
1.700000  1.376747e-08  1.372920e-08  1.376747e-08  1.391811e-03  1.802467e-16  1.391811e-03
1.800000  2.419736e-08  2.419953e-08  2.419736e-08  4.502898e-05  2.051085e-16  4.502898e-05
1.900000  4.121588e-08  4.124506e-08  4.121588e-08  3.538774e-04  1.605557e-16  3.538774e-04
2.000000  6.825301e-08  6.834199e-08  6.825301e-08  6.514322e-04  1.939093e-16  6.514322e-04
2.100000  1.101832e-07  1.101869e-07  1.101832e-07  1.680760e-05  0.000000e+00  1.680760e-05
2.200000  1.738026e-07  1.738001e-07  1.738026e-07  7.077831e-06  3.045959e-16  7.077831e-06
2.300000  2.684239e-07  2.684388e-07  2.684239e-07  2.782399e-05  9.861186e-17  2.782399e-05
2.400000  4.066066e-07  4.066024e-07  4.066066e-07  5.177837e-06  6.509923e-17  5.177837e-06
2.500000  6.050436e-07  6.050456e-07  6.050436e-07  1.626307e-06  3.499884e-16  1.626307e-06
2.600000  8.856241e-07  8.856258e-07  8.856241e-07  9.745110e-07  5.977656e-17  9.745110e-07
2.700000  1.276695e-06  1.276698e-06  1.276695e-06  1.259922e-06  8.293218e-17  1.259922e-06
2.800000  1.814543e-06  1.814543e-06  1.814543e-06  2.709449e-08  6.418533e-16  2.709449e-08
2.900000  2.545114e-06  2.545114e-06  2.545114e-06  1.170729e-07  4.992111e-16  1.170729e-07
3.000000  3.526004e-06  3.526003e-06  3.526004e-06  1.411516e-07  7.206739e-16  1.411516e-07
3.100000  4.828719e-06  4.828720e-06  4.828719e-06  2.860831e-08  1.841864e-15  2.860831e-08
3.200000  6.541251e-06  6.541251e-06  6.541251e-06  2.020680e-08  1.100673e-15  2.020680e-08
3.300000  8.770955e-06  8.770955e-06  8.770955e-06  4.141315e-09  3.862900e-16  4.141315e-09
