terms     sum_up           sum_down         rel_diff      
 631250   1.39410315e+01   1.39326401e+01   6.02100801e-04
 634375   1.39469919e+01   1.39376087e+01   6.73002389e-04
 637500   1.39529524e+01   1.39425678e+01   7.44532445e-04
 640625   1.39589128e+01   1.39474602e+01   8.20792804e-04
 643750   1.39648733e+01   1.39523029e+01   9.00548184e-04
 646875   1.39708338e+01   1.39571009e+01   9.83453356e-04
 650000   1.39767942e+01   1.39619684e+01   1.06130831e-03
 653125   1.39827547e+01   1.39667711e+01   1.14374619e-03
 656250   1.39887152e+01   1.39714804e+01   1.23280985e-03
 659375   1.39946756e+01   1.39763002e+01   1.31389033e-03
 662500   1.40006361e+01   1.39810133e+01   1.40254793e-03
 665625   1.40065966e+01   1.39857531e+01   1.48922880e-03
 668750   1.40125570e+01   1.39904070e+01   1.58197817e-03
 671875   1.40185175e+01   1.39949951e+01   1.67935935e-03
 675000   1.40244780e+01   1.39996367e+01   1.77285238e-03
 678125   1.40304384e+01   1.40043430e+01   1.86164398e-03
 681250   1.40363989e+01   1.40090523e+01   1.95016374e-03
 684375   1.40423594e+01   1.40135126e+01   2.05637817e-03
 687500   1.40483198e+01   1.40179958e+01   2.16088095e-03
 690625   1.40542803e+01   1.40225286e+01   2.26176926e-03
 693750   1.40602407e+01   1.40270500e+01   2.36339821e-03
 696875   1.40662012e+01   1.40316086e+01   2.46230070e-03
 700000   1.40712557e+01   1.40361919e+01   2.49497895e-03
 703125   1.40742359e+01   1.40405636e+01   2.39534583e-03
 706250   1.40772161e+01   1.40449009e+01   2.29820912e-03
 709375   1.40801964e+01   1.40493164e+01   2.19555711e-03
 712500   1.40831766e+01   1.40537882e+01   2.08895514e-03
 715625   1.40861568e+01   1.40581141e+01   1.99278886e-03
 718750   1.40891371e+01   1.40625134e+01   1.89145049e-03
 721875   1.40921173e+01   1.40668783e+01   1.79260585e-03
 725000   1.40950975e+01   1.40712051e+01   1.69652386e-03
 728125   1.40980778e+01   1.40754709e+01   1.60482794e-03
 731250   1.41010580e+01   1.40797005e+01   1.51575310e-03
 734375   1.41040382e+01   1.40839767e+01   1.42340583e-03
 737500   1.41070185e+01   1.40882816e+01   1.32907531e-03
 740625   1.41099987e+01   1.40924387e+01   1.24528282e-03
 743750   1.41129789e+01   1.40966768e+01   1.15578214e-03
 746875   1.41159592e+01   1.41009970e+01   1.06051099e-03
 750000   1.41189394e+01   1.41051178e+01   9.79419914e-04
 753125   1.41219196e+01   1.41091537e+01   9.04385350e-04
 756250   1.41248999e+01   1.41133480e+01   8.18170956e-04
 759375   1.41278801e+01   1.41174612e+01   7.37742346e-04
 762500   1.41308603e+01   1.41215811e+01   6.56881370e-04
 765625   1.41338406e+01   1.41256733e+01   5.78018895e-04
 768750   1.41368208e+01   1.41297302e+01   5.01693226e-04
 771875   1.41398010e+01   1.41338501e+01   4.20952187e-04
 775000   1.41427813e+01   1.41379061e+01   3.44771193e-04
 778125   1.41457615e+01   1.41419134e+01   2.72067322e-04
 781250   1.41487417e+01   1.41458845e+01   2.01961200e-04
 784375   1.41517220e+01   1.41498594e+01   1.31619920e-04
 787500   1.41547022e+01   1.41538115e+01   6.29303104e-05
 790625   1.41576824e+01   1.41577559e+01   5.18677643e-06
 793750   1.41606627e+01   1.41616764e+01   7.15870119e-05
 796875   1.41636429e+01   1.41656981e+01   1.45091137e-04
 800000   1.41666231e+01   1.41697330e+01   2.19501191e-04
 803125   1.41696033e+01   1.41736469e+01   2.85329239e-04
 806250   1.41725836e+01   1.41774254e+01   3.41573410e-04
 809375   1.41755638e+01   1.41811705e+01   3.95437033e-04
 812500   1.41785440e+01   1.41850080e+01   4.55796544e-04
 815625   1.41815243e+01   1.41888428e+01   5.15925407e-04
 818750   1.41845045e+01   1.41926899e+01   5.76898921e-04
 821875   1.41874847e+01   1.41965780e+01   6.40731712e-04
 825000   1.41904650e+01   1.42005033e+01   7.07152765e-04
 828125   1.41934452e+01   1.42043190e+01   7.65820441e-04
 831250   1.41964254e+01   1.42079668e+01   8.12646642e-04
 834375   1.41994057e+01   1.42116337e+01   8.60792992e-04
 837500   1.42023859e+01   1.42153378e+01   9.11533309e-04
 840625   1.42053661e+01   1.42190361e+01   9.61847312e-04
 843750   1.42083464e+01   1.42227402e+01   1.01254007e-03
 846875   1.42113266e+01   1.42265272e+01   1.06904097e-03
 850000   1.42143068e+01   1.42303152e+01   1.12558203e-03
 853125   1.42172871e+01   1.42339592e+01   1.17197924e-03
 856250   1.42202673e+01   1.42375603e+01   1.21534057e-03
 859375   1.42232475e+01   1.42412453e+01   1.26457494e-03
 862500   1.42262278e+01   1.42448416e+01   1.30756001e-03
 865625   1.42292080e+01   1.42483883e+01   1.34704472e-03
 868750   1.42321882e+01   1.42520027e+01   1.39126240e-03
 871875   1.42351685e+01   1.42556429e+01   1.43726578e-03
 875000   1.42381487e+01   1.42592278e+01   1.47936866e-03
 878125   1.42411289e+01   1.42628126e+01   1.52145221e-03
 881250   1.42441092e+01   1.42662783e+01   1.55516039e-03
 884375   1.42470894e+01   1.42697773e+01   1.59119244e-03
 887500   1.42500696e+01   1.42733631e+01   1.63328834e-03
 890625   1.42530499e+01   1.42769432e+01   1.67496409e-03
 893750   1.42560301e+01   1.42805004e+01   1.71501783e-03
 896875   1.42590103e+01   1.42839985e+01   1.75091380e-03
 900000   1.42619905e+01   1.42874250e+01   1.78178737e-03
 903125   1.42649708e+01   1.42908230e+01   1.81064510e-03
 906250   1.42679510e+01   1.42943478e+01   1.84836320e-03
 909375   1.42709312e+01   1.42977428e+01   1.87699299e-03
 912500   1.42739115e+01   1.43010969e+01   1.90274243e-03
 915625   1.42768917e+01   1.43044643e+01   1.92941388e-03
 918750   1.42798719e+01   1.43078861e+01   1.95987266e-03
 921875   1.42828522e+01   1.43113556e+01   1.99364987e-03
 925000   1.42858324e+01   1.43148842e+01   2.03154213e-03
 928125   1.42888126e+01   1.43182764e+01   2.05989275e-03
 931250   1.42917929e+01   1.43216286e+01   2.08543404e-03
 934375   1.42947731e+01   1.43249588e+01   2.10943283e-03
 937500   1.42977533e+01   1.43282700e+01   2.13208958e-03
 940625   1.43007336e+01   1.43314838e+01   2.14794930e-03
 943750   1.43037138e+01   1.43347855e+01   2.16992246e-03
 946875   1.43066940e+01   1.43380861e+01   2.19181972e-03
 950000   1.43096743e+01   1.43414021e+01   2.21477123e-03
 953125   1.43126545e+01   1.43446999e+01   2.23644963e-03
 956250   1.43156347e+01   1.43479624e+01   2.25565908e-03
 959375   1.43186150e+01   1.43511581e+01   2.27020867e-03
 962500   1.43215952e+01   1.43544388e+01   2.29066471e-03
 965625   1.43245754e+01   1.43578424e+01   2.31968029e-03
 968750   1.43275557e+01   1.43612432e+01   2.34848401e-03
 971875   1.43305359e+01   1.43644047e+01   2.36061052e-03
 975000   1.43335161e+01   1.43674822e+01   2.36689090e-03
 978125   1.43364964e+01   1.43705807e+01   2.37462833e-03
 981250   1.43394766e+01   1.43737679e+01   2.38853320e-03
 984375   1.43424568e+01   1.43769617e+01   2.40289606e-03
 987500   1.43454370e+01   1.43801117e+01   2.41420232e-03
 990625   1.43484173e+01   1.43832579e+01   2.42523849e-03
 993750   1.43513975e+01   1.43863630e+01   2.43341969e-03
 996875   1.43543777e+01   1.43894606e+01   2.44106702e-03
