terms     sum_up           sum_down         rel_diff      
   6125   9.29743671e+00   9.29743004e+00   7.18017532e-07
   6250   9.31763935e+00   9.31763077e+00   9.21163860e-07
   6375   9.33744335e+00   9.33743095e+00   1.32774824e-06
   6500   9.35685730e+00   9.35684776e+00   1.01922558e-06
   6625   9.37590408e+00   9.37589455e+00   1.01715500e-06
   6750   9.39459610e+00   9.39458466e+00   1.21815765e-06
   6875   9.41294670e+00   9.41293335e+00   1.41841338e-06
   7000   9.43095970e+00   9.43095016e+00   1.01121714e-06
   7125   9.44865704e+00   9.44864845e+00   9.08390746e-07
   7250   9.46605015e+00   9.46603966e+00   1.10821543e-06
   7375   9.48314095e+00   9.48313236e+00   9.05087518e-07
   7500   9.49994755e+00   9.49993706e+00   1.10426117e-06
   7625   9.51648045e+00   9.51646519e+00   1.60340801e-06
   7750   9.53273582e+00   9.53272533e+00   1.10046301e-06
   7875   9.54873371e+00   9.54872513e+00   8.98870269e-07
   8000   9.56447983e+00   9.56447315e+00   6.97970279e-07
   8125   9.57998371e+00   9.57997608e+00   7.96389429e-07
   8250   9.59525108e+00   9.59524250e+00   8.94512596e-07
   8375   9.61028957e+00   9.61027908e+00   1.09158248e-06
   8500   9.62510681e+00   9.62509346e+00   1.38714825e-06
   8625   9.63970661e+00   9.63969135e+00   1.58291141e-06
   8750   9.65408897e+00   9.65407944e+00   9.87845397e-07
   8875   9.66827202e+00   9.66826344e+00   8.87756642e-07
   9000   9.68226624e+00   9.68225002e+00   1.67445069e-06
   9125   9.69604969e+00   9.69604206e+00   7.86856276e-07
   9250   9.70965862e+00   9.70964718e+00   1.17863033e-06
   9375   9.72307682e+00   9.72307014e+00   6.86585395e-07
   9500   9.73632622e+00   9.73631382e+00   1.27335238e-06
   9625   9.74939251e+00   9.74938583e+00   6.84732129e-07
   9750   9.76230431e+00   9.76228809e+00   1.66072232e-06
   9875   9.77503490e+00   9.77502728e+00   7.80498226e-07
  10000   9.78761292e+00   9.78760433e+00   8.76932177e-07
  10625   9.84823895e+00   9.84822845e+00   1.06520804e-06
  11250   9.90539169e+00   9.90538883e+00   2.88834968e-07
  11875   9.95945835e+00   9.95945263e+00   5.74533999e-07
  12500   1.00107450e+01   1.00107450e+01   0.00000000e+00
  13125   1.00595322e+01   1.00595341e+01   1.89606084e-07
  13750   1.01060543e+01   1.01060505e+01   3.77466591e-07
  14375   1.01504984e+01   1.01505013e+01   2.81860309e-07
  15000   1.01930571e+01   1.01930599e+01   2.80683452e-07
  15625   1.02338772e+01   1.02338800e+01   2.79563892e-07
  16250   1.02731218e+01   1.02730999e+01   2.13513795e-06
  16875   1.03108358e+01   1.03108387e+01   2.77477255e-07
  17500   1.03472004e+01   1.03472071e+01   6.45171440e-07
  18125   1.03822927e+01   1.03822975e+01   4.59279136e-07
  18750   1.04161901e+01   1.04161978e+01   7.32455135e-07
  19375   1.04489794e+01   1.04489861e+01   6.38887116e-07
